,Left_Motor_Position,Right_Motor_Position
0,0.0,0.0
1,0.38308,0.38308
2,0.76616,0.76616
3,1.14924,1.14924
4,1.53232,1.53232
5,1.9154,1.9154
6,2.29848,2.29848
7,2.68156,2.68156
8,3.06464,3.06464
9,3.44772,3.44772
10,3.8308,3.8308
11,4.2076,4.2076
12,4.59068,4.59068
13,4.97376,4.97376
14,5.35684,5.35684
15,5.73992,5.73992
16,6.123,6.123
17,6.50608,6.50608
18,6.88916,6.88916
19,7.27224,7.27224
20,7.65532,7.65532
21,8.0384,8.0384
22,8.42148,8.42148
23,8.80456,8.80456
24,9.18764,9.18764
25,9.57072,9.57072
26,9.80308,9.80308
27,9.90984,9.90984
28,9.96008,9.96008
29,9.97892,9.97892
30,9.99148,9.99148
31,9.99776,9.99776
32,9.99776,9.99776
33,9.99776,9.99776
34,9.99776,9.99776
35,9.99776,9.99776
36,9.99776,9.99776
37,9.99776,9.99776
38,9.99776,9.99776
39,9.99776,9.99776
40,9.99776,9.99776
41,9.99776,9.99776
